date,cases,deaths,temp,rainfall,humidity
200302,0,0,22.144827586206894,25.0,65.25
200303,0,0,24.43870967741936,81.0,64.96774193548387
200304,2,0,28.906451612903222,123.0,70.63333333333334
200305,1,0,29.458064516129035,140.0,72.80645161290323
200306,0,0,28.37741935483871,473.0,81.86666666666666
200307,4,0,29.332258064516132,187.0,79.06451612903226
200308,4,0,29.42903225806451,199.0,78.7741935483871
200309,3,0,28.477419354838712,264.0,82.73333333333333
200310,0,0,27.761290322580642,134.0,80.25806451612904
200311,372,8,23.99354838709678,0.0,66.9
200312,100,2,20.532258064516125,45.0,72.16129032258064
200401,0,0,18.238709677419354,0.0,73.03225806451613
200402,0,0,21.84333333333333,0.0,60.51724137931034
200403,1,0,27.138709677419353,9.0,62.806451612903224
200404,0,0,27.848387096774193,167.0,72.5
200405,1,0,30.43225806451613,132.0,67.58064516129032
200406,143,0,28.512903225806447,476.0,81.13333333333334
200407,1209,4,28.616129032258062,292.0,81.93548387096774
200408,1261,1,29.14193548387097,190.0,78.70967741935483
200409,511,4,27.664516129032258,839.0,85.46666666666667
200410,362,3,26.874193548387098,208.0,74.96774193548387
200411,395,1,23.43225806451613,0.0,69.06666666666666
200412,51,0,20.958064516129035,0.0,70.03225806451613
200501,1,0,19.04193548387097,1.0,68.35483870967742
200502,0,0,23.42068965517241,3.0,60.607142857142854
200503,0,0,26.91612903225806,63.0,66.16129032258064
200504,0,0,28.97096774193549,91.0,66.53333333333333
200505,0,0,28.645161290322587,291.0,73.96774193548387
200506,2,0,29.729032258064517,259.0,79.23333333333333
200507,3,0,28.612903225806452,535.0,81.16129032258064
200508,174,0,28.996774193548386,361.0,82.87096774193549
200509,337,1,28.887096774193544,514.0,81.76666666666667
200510,325,1,26.99032258064516,417.0,80.45161290322581
200511,187,2,23.87096774193549,3.0,72.33333333333333
200512,19,0,20.9258064516129,0.0,66.74193548387096
200601,0,0,18.929032258064517,0.0,69.03225806451613
200602,0,0,24.87586206896552,0.0,65.28571428571429
200603,0,0,27.438709677419357,0.0,53.87096774193548
200604,0,0,28.58709677419355,181.0,67.83333333333333
200605,0,0,29.080645161290327,184.0,72.6774193548387
200606,100,1,29.08709677419355,326.0,81.56666666666666
200607,972,1,29.203225806451616,326.0,80.06451612903226
200608,680,1,29.154838709677414,166.0,77.19354838709677
200609,211,6,28.483870967741936,663.0,80.73333333333333
200610,145,1,27.945161290322588,61.0,76.2258064516129
200611,92,1,24.280645161290323,5.0,68.23333333333333
200612,0,0,20.625806451612902,0.0,69.19354838709677
200701,0,0,18.000000000000004,0.0,68.06451612903226
200702,0,0,21.510344827586202,30.0,68.92857142857143
200703,0,0,25.412903225806453,11.0,54.67741935483871
200704,0,0,28.13225806451613,163.0,69.53333333333333
200705,0,0,30.051612903225806,185.0,70.93548387096774
200706,0,0,28.65483870967742,628.0,81.03333333333333
200707,85,0,28.25483870967742,749.0,84.51612903225806
200708,179,0,29.13548387096774,487.0,80.25806451612904
200709,163,0,28.729032258064517,179.0,80.13333333333334
200710,39,0,27.122580645161296,320.0,78.2258064516129
200711,0,0,23.85806451612903,111.0,77.46666666666667
200712,0,0,19.8,0.0,69.87096774193549
200801,0,0,19.022580645161288,23.0,69.83870967741936
200802,0,0,20.30333333333333,56.0,61.689655172413794
200803,0,0,26.60645161290323,45.0,67.19354838709677
200804,0,0,29.219354838709684,91.0,64.5
200805,0,0,29.303225806451607,203.0,70.74193548387096
200806,160,0,28.73548387096774,577.0,80.46666666666667
200807,475,0,28.5483870967742,563.0,83.09677419354838
200808,334,0,28.809677419354845,318.0,81.7741935483871
200809,184,0,28.909677419354836,279.0,81.0
200810,0,0,27.074193548387097,227.0,77.83870967741936
200811,0,0,23.722580645161297,0.0,69.53333333333333
200812,0,0,20.409677419354836,0.0,79.38709677419355
200901,0,0,19.712903225806453,1.0,72.45161290322581
200902,0,0,23.28965517241379,1.0,55.035714285714285
200903,0,0,27.041935483870965,39.0,53.41935483870968
200904,0,0,30.14516129032258,14.0,66.43333333333334
200905,1,0,29.148387096774194,168.0,72.16129032258064
200906,0,0,30.21935483870968,170.0,74.73333333333333
200907,4,0,29.022580645161288,657.0,80.0
200908,127,0,28.89354838709677,426.0,82.2258064516129
200909,188,0,28.838709677419356,298.0,81.33333333333333
200910,154,0,27.616129032258065,74.0,73.06451612903226
200911,0,0,24.58064516129032,4.0,66.6
200912,0,0,19.974193548387095,0.0,69.64516129032258
201001,0,0,17.629032258064512,0.0,71.6774193548387
201002,0,0,22.293103448275858,48.0,56.892857142857146
201003,0,0,28.22258064516129,22.0,59.16129032258065
201004,0,0,30.38387096774193,37.0,67.3
201005,0,0,29.654838709677417,177.0,71.54838709677419
201006,0,0,29.325806451612902,308.0,79.33333333333333
201007,35,0,29.69677419354839,158.0,77.12903225806451
201008,183,0,29.500000000000004,333.0,78.80645161290323
201009,165,0,28.951612903225808,169.0,79.66666666666667
201010,21,0,28.28064516129032,174.0,74.87096774193549
201011,5,0,24.935483870967737,0.0,68.96666666666667
201012,0,0,20.13225806451613,81.0,66.09677419354838
201101,0,0,17.287096774193543,0.0,69.19354838709677
201102,0,0,22.551724137931036,0.0,54.785714285714285
201103,0,0,26.387096774193548,16.0,57.67741935483871
201104,0,0,28.029032258064515,123.0,64.83333333333333
201105,0,0,28.429032258064517,235.0,76.12903225806451
201106,74,0,29.09354838709678,314.0,80.93333333333334
201107,296,1,29.235483870967744,356.0,79.12903225806451
201108,715,4,28.519354838709674,409.0,82.83870967741936
201109,131,1,29.129032258064516,207.0,77.26666666666667
201110,58,0,28.14838709677419,112.0,73.58064516129032
201111,0,0,23.867741935483874,0.0,67.8
201112,0,0,19.338709677419356,0.0,73.48387096774194
201201,0,0,18.87741935483871,10.0,66.16129032258064
201202,0,0,22.136666666666667,1.0,52.0
201203,0,0,27.16129032258064,37.0,57.74193548387097
201204,0,0,28.125806451612906,269.0,69.8
201205,0,0,30.08709677419355,113.0,70.3225806451613
201206,16,0,29.712903225806453,175.0,77.66666666666667
201207,108,0,29.119354838709672,226.0,79.51612903225806
201208,138,0,29.196774193548386,282.0,78.83870967741936
201209,262,0,29.051612903225802,81.0,79.16666666666667
201210,90,0,27.851612903225814,38.0,71.70967741935483
201211,57,1,23.46774193548387,68.0,68.06666666666666
201212,0,0,18.400000000000002,5.0,77.12903225806451
201301,0,0,17.638709677419353,0.0,65.41935483870968
201302,0,0,22.855172413793102,8.0,55.892857142857146
201303,0,0,27.454838709677425,26.0,55.41935483870968
201304,0,0,29.016129032258064,32.0,63.86666666666667
201305,4,0,27.951612903225808,359.0,78.96774193548387
201306,44,0,30.125806451612902,325.0,76.76666666666667
201307,220,0,29.351612903225806,301.0,77.61290322580645
201308,353,1,28.703225806451613,211.0,80.90322580645162
201309,495,1,28.864516129032257,172.0,81.43333333333334
201310,363,0,27.24193548387096,131.0,78.93548387096774
201311,212,0,23.787096774193547,0.0,66.8
201312,58,0,20.16129032258064,4.0,72.87096774193549
201401,15,0,18.31935483870968,0.0,72.7741935483871
201402,7,0,21.010344827586206,12.0,62.107142857142854
201403,2,0,26.45161290322581,10.0,52.25806451612903
201404,0,0,30.661290322580648,80.0,56.233333333333334
201405,8,0,30.21290322580645,141.0,68.87096774193549
201406,9,0,29.558064516129033,342.0,78.0
201407,82,0,29.535483870967738,210.0,77.19354838709677
201408,80,0,28.754838709677415,342.0,82.25806451612904
201409,76,0,29.170967741935485,156.0,76.53333333333333
201410,63,0,27.693548387096776,49.0,72.2258064516129
201411,22,0,24.351612903225806,0.0,66.86666666666666
201412,11,0,18.983870967741936,0.0,77.74193548387096
201501,0,0,19.132258064516126,3.0,70.58064516129032
201502,0,0,22.382142857142856,17.0,63.32142857142857
201503,2,0,26.303225806451618,4.0,52.87096774193548
201504,6,0,27.879999999999992,166.0,68.36666666666666
201505,10,0,29.70645161290323,185.0,71.35483870967742
201506,28,0,29.269999999999996,375.0,77.6
201507,171,2,28.448387096774194,610.0,81.83870967741936
201508,765,1,29.25161290322581,357.0,79.70967741935483
201509,965,1,28.990000000000002,346.0,78.46666666666667
201510,869,0,27.67096774193548,51.0,73.29032258064517
201511,271,2,24.46333333333333,0.0,69.66666666666667
201512,75,0,20.445161290322584,1.0,68.54838709677419
